number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
34,0.9966858152894388,2026-08-11 11:15:05.580609,2026-08-11 11:15:07.393884,0 days 00:00:01.813275,0.6744412383690925,1.0816656475979702,0.15916740425832995,10,2,261,0.22059839820318664,0.0004572208356344118,0.7515677932509637,COMPLETE
35,0.9965015650893021,2026-08-11 11:15:07.393884,2026-08-11 11:15:09.293773,0 days 00:00:01.899889,0.7074390161855876,1.1049850868150333,0.11245254185681029,10,2,257,1.8791824160215825e-05,0.0006100821547124927,0.7578726408961515,COMPLETE
36,0.9961324542340417,2026-08-11 11:15:09.293773,2026-08-11 11:15:12.617481,0 days 00:00:03.323708,0.6756180801598936,1.8421178777246552,0.09476694755209075,9,5,556,0.4011187754572055,0.00022771732646626974,0.7386821081085221,COMPLETE
37,0.9962419865890502,2026-08-11 11:15:12.617481,2026-08-11 11:15:15.035752,0 days 00:00:02.418271,0.7583548252686989,0.9873926027811598,0.19868201386895226,8,1,376,6.865727594660676,3.3019214935986677e-06,0.6868522434572233,COMPLETE
38,0.996575468571639,2026-08-11 11:15:15.035752,2026-08-11 11:15:16.569916,0 days 00:00:01.534164,0.6250682222248016,1.246449932621061,0.1447413688911143,10,3,224,1.0724260240424127e-06,4.6739766194084606e-05,0.8166647541134223,COMPLETE
39,0.9963922839051687,2026-08-11 11:15:16.569916,2026-08-11 11:15:19.455586,0 days 00:00:02.885670,0.6540326134857987,0.8375544442133694,0.010245320786275307,10,2,275,0.0035175694117016406,3.9697067585756474e-07,0.6026446298492447,COMPLETE
40,0.9956531349001695,2026-08-11 11:15:19.457593,2026-08-11 11:15:22.192710,0 days 00:00:02.735117,0.7855970344474472,0.7412482671543525,0.04270925075174244,4,4,407,9.048858619142901e-05,1.0665519651042463e-05,0.7825597253977076,COMPLETE
41,0.9966124162309449,2026-08-11 11:15:22.193716,2026-08-11 11:15:24.976803,0 days 00:00:02.783087,0.6730694135131389,0.22827657370026072,0.16648728447443648,10,2,307,0.1349547523085663,0.12945336156083645,0.64127772365076,COMPLETE
42,0.9964271243876386,2026-08-11 11:15:24.976803,2026-08-11 11:15:27.647539,0 days 00:00:02.670736,0.6988569000943252,0.41044079479766926,0.16786067835024998,10,2,335,0.2896989027426294,0.003856394758774239,0.7151919485687266,COMPLETE
43,0.9967225188731357,2026-08-11 11:15:27.649545,2026-08-11 11:15:30.478630,0 days 00:00:02.829085,0.7343616925224079,0.03998603848802866,0.14978297735026636,9,1,297,2.4609302606375434,0.0003072060069208079,0.7467994438045645,COMPLETE
44,0.9964279138280243,2026-08-11 11:15:30.480638,2026-08-11 11:15:32.922818,0 days 00:00:02.442180,0.9440955517799986,0.7845712064465996,0.026703393032081132,9,1,254,0.7947432548469736,0.0011474285513699953,0.7476210517879297,COMPLETE
45,0.9966126656848306,2026-08-11 11:15:32.922818,2026-08-11 11:15:35.637229,0 days 00:00:02.714411,0.748652690100757,0.013072972086778156,0.10988634819592065,9,1,294,3.632911170628432,0.0002876797988299344,0.7275769520407371,COMPLETE
46,0.9962436473447742,2026-08-11 11:15:35.637229,2026-08-11 11:15:38.024577,0 days 00:00:02.387348,0.7095506122532349,0.12790843321385723,0.07948549876610006,8,8,275,2.0380898870571764,0.017850026123611022,0.7632232018273352,COMPLETE
47,0.9967225188731357,2026-08-11 11:15:38.024577,2026-08-11 11:15:39.901910,0 days 00:00:01.877333,0.7354074200627103,0.49438281593058975,0.13595545208624954,9,1,219,0.0004926809136539766,1.7497743484092418,0.8276089017400496,COMPLETE
48,0.9967220360207727,2026-08-11 11:15:39.901910,2026-08-11 11:15:41.693792,0 days 00:00:01.791882,0.7817382318819003,0.49507579579127714,0.14347473500588936,9,3,214,0.0005724221846803278,1.4959409023827082,0.8707075467647747,COMPLETE
49,0.9963173013184061,2026-08-11 11:15:41.693792,2026-08-11 11:15:43.257717,0 days 00:00:01.563925,0.8224382646384385,0.5156848583143456,0.13696698596001522,7,6,200,0.0006493513275448719,2.397004959220388,0.8676463947457146,COMPLETE
